merchant_id,merchant_name,segment,monthly_volume_band,currency,effective_from,effective_to,fee_basis,rate_percent,flat_fee,min_fee,cap_fee,tier_threshold_count,tier_rate_percent
MER-0041,Chegutu Health Limitedâ€™s,GAMING,500_5K,USD,2025-07-01,,TIERED_PERCENT,1.117,,0.033,,2000,0.693
MER-0042,Mvurwi Holdings Group,GAMING,5K_50K,USD,2025-07-01,,TIERED_PERCENT,1.036,,0.026,,12000,0.713
MER-0043,Simuka Textiles (Pvt) Ltd,INSURANCE,500_5K,USD,2025-07-01,,TIERED_PERCENT,1.266,,0.033,,12000,0.833
MER-0044,Highfield Motors Group,EDUCATION,UNDER_500,USD,2025-07-01,,PERCENT_WITH_CAP,1.243,,0.078,3.83,,
MER-0044,Highfield Motors Group,EDUCATION,UNDER_500,ZWG,2025-07-01,,FLAT_FEE,,6.1,2.24,,,
MER-0045,Shurugwi Pharmacy Limitedâ€™s,ECOMMERCE,UNDER_500,USD,2025-07-01,,FLAT_FEE,,0.117,0.085,,,
MER-0046,Murewa Academy Groupâ€™s,TRANSPORT,500_5K,ZWG,2025-07-01,,FLAT_PERCENT,1.571,,2.25,,,
MER-0047,Gutu Pharmacy Group,TRANSPORT,OVER_50K,ZWG,2025-07-01,,TIERED_PERCENT,0.661,,1.76,,25000,0.413
MER-0048,Gutu Assurance (Pvt) Ltd,RETAIL,UNDER_500,USD,2025-07-01,,PERCENT_WITH_CAP,1.587,,0.036,2.77,,
MER-0049,Highfield Assurance Group,TRANSPORT,500_5K,USD,2025-07-01,,PERCENT_WITH_CAP,0.729,,0.079,3.73,,
MER-0050,Chitungwiza Foods Group,GAMING,5K_50K,USD,2025-07-01,,TIERED_PERCENT,0.942,,0.047,,5000,0.791
MER-0051,Plumtree Agri Limited,UTILITY,500_5K,USD,2025-07-01,,FLAT_FEE,,0.189,0.067,,,
MER-0051,Plumtree Agri Limited,UTILITY,500_5K,ZWG,2025-07-01,,FLAT_PERCENT,1.303,,1.46,,,
MER-0052,Sable Traders (Pvt) Ltd,EDUCATION,OVER_50K,USD,2025-07-01,2026-03-31,TIERED_PERCENT,0.927,,0.056,,2000,0.703
MER-0052,Sable Traders (Pvt) Ltd,EDUCATION,OVER_50K,USD,2026-04-01,,TIERED_PERCENT,0.681,,0.056,,2000,0.596
MER-0052,Sable Traders (Pvt) Ltd,EDUCATION,OVER_50K,ZWG,2025-07-01,2026-03-31,FLAT_PERCENT,1.25,,0.82,,,
MER-0052,Sable Traders (Pvt) Ltd,EDUCATION,OVER_50K,ZWG,2026-04-01,,FLAT_PERCENT,1.113,,0.82,,,
MER-0053,Norton Motors Enterprises,ECOMMERCE,5K_50K,USD,2025-07-01,,TIERED_PERCENT,1.543,,0.082,,12000,1.221
MER-0053,Norton Motors Enterprises,ECOMMERCE,5K_50K,ZWG,2025-07-01,,FLAT_PERCENT,1.362,,1.18,,,
MER-0054,Gutu Water Limited,TELCO,OVER_50K,USD,2025-07-01,,FLAT_PERCENT,1.206,,0.08,,,
MER-0055,  Gutu Textiles Enterprises   ,ECOMMERCE,500_5K,USD,2025-07-01,,TIERED_PERCENT,1.401,,0.049,,25000,1.12
MER-0056,Gutu Holdings (Pvt) Ltd,TELCO,5K_50K,USD,2025-07-01,,FLAT_PERCENT,1.431,,0.062,,,
MER-0057,Kopano Water Trust,TRANSPORT,500_5K,USD,2025-07-01,,TIERED_PERCENT,1.024,,0.031,,12000,0.794
MER-0058,Redcliff Health Co-operative,NGO,OVER_50K,USD,2025-07-01,,FLAT_PERCENT,1.311,,0.051,,,
MER-0058,Redcliff Health Co-operative,NGO,OVER_50K,ZWG,2025-07-01,,FLAT_PERCENT,0.975,,2.02,,,
MER-0059,Norton Traders Co-operative,TRANSPORT,500_5K,USD,2025-07-01,,FLAT_FEE,,0.326,0.057,,,
MER-0060,Kopano Energy Limited,INSURANCE,5K_50K,USD,2025-07-01,,FLAT_FEE,,0.182,0.063,,,
MER-0061,Chivhu Retail (Pvt) Ltd,RETAIL,500_5K,USD,2025-07-01,,FLAT_PERCENT,1.51,,0.069,,,
MER-0062,Murewa Energy Trust,NGO,OVER_50K,USD,2025-07-01,,TIERED_PERCENT,1.338,,0.042,,12000,1.098
MER-0062,Murewa Energy Trust,NGO,OVER_50K,ZWG,2025-07-01,,PERCENT_WITH_CAP,1.157,,2.43,67.16,,
