ticket_id,merchant_id,opened_at,channel,subject,body,status,txn_ref
TK-100023,MER-0003,2026-04-21 19:22:00,email,Query on fees charged this month,Can you send a breakdown of fees for the period? We need it for our audit and the summary figure alone is not enough.,closed,PN100049615
TK-100024,MER-0007,2026-03-30 12:45:00,portal,Customer double charged,"We need to refund 52.68 on PN100091338, the goods were returned. What is the process and how long does it take to reflect?",open,PN100091338
TK-100025,MER-0042,2026-04-17 06:25:00,email,Transaction PN100099611 failed on checkout,Customer says payment went through on their phone but our dashboard shows failed. PN100099611. They are in the shop now and refusing to pay again.,closed,PN100099611
TK-100026,MER-0013,2026-03-13 17:59:00,email,Payment declined repeatedly,"A customer tried to pay n/a and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is not recorded. Please reverse or confirm.",resolved,
TK-100027,MER-0056,2026-03-22 09:51:00,email,Transaction PN100143118 failed on checkout,"A customer tried to pay 1.57 and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is PN100143118. Please reverse or confirm.",resolved,PN100143118
TK-100028,MER-0043,2026-03-21 19:31:00,email,How do we handle the pending status?,"We rotated our API key yesterday and now every request returns {""error"":""unauthorised""}. Nothing else changed on our side. Can you check whether the old key is still active?",resolved,PN100115043
TK-100029,MER-0049,2026-03-13 11:48:00,whatsapp,Query on fees charged this month,Our finance team has reviewed the statement and the fee charged looks higher than the rate we agreed in the addendum. We understood the new rate applies from April. Please clarify.,open,PN100167312
TK-100030,MER-0048,2026-04-17 15:58:00,portal,Callback not firing on our staging environment,"Our callback endpoint is not receiving anything for successful payments, though the dashboard shows them as successful. We are on the v2 integration. Logs attached in the portal.",resolved,PN100072527
TK-100031,MER-0040,2026-04-30 18:47:00,whatsapp,Query on fees charged this month,Our finance team has reviewed the statement and the fee charged looks higher than the rate we agreed in the addendum. We understood the new rate applies from April. Please clarify.,closed,
TK-100032,MER-0006,2026-04-14 06:04:00,email,Possible fraudulent payments overnight,"We had a series of small payments overnight from what looks like the same payer, all just under our review threshold. One ref is PN100075725. Can you block that payer and advise on next steps?",resolved,PN100075725
TK-100033,MER-0010,2026-03-05 18:34:00,portal,Transaction PN100014440 failed on checkout,"We are seeing a lot of declines this afternoon on mobile money. Ref PN100014440 is one example. Is there a problem on the rail side or is it us?
Sent from my mobile device",resolved,PN100014440
TK-100034,MER-0009,2026-03-11 13:40:00,portal,Add a user to our portal,We are changing our settlement bank. What documents do you need from us?,resolved,PN100140405
TK-100035,MER-0035,2026-03-05 07:25:00,portal,Add a user to our portal,Kindly send the statement for last month in Excel rather than PDF.,open,
TK-100036,MER-0037,2026-03-15 12:51:00,email,Customer payment failed but was debited,We are seeing a lot of declines this afternoon on mobile money. Ref not recorded is one example. Is there a problem on the rail side or is it us?,resolved,
TK-100037,MER-0047,2026-03-19 19:13:00,email,Funds still not in our account,"Hie, kindly confirm status of our settlement. Amount expected is around 44.62. Ref PN100068496.",closed,PN100068496
TK-100038,MER-0010,2026-04-01 09:33:00,portal,Customer double charged,"We need to refund 268.43 on PN100008428, the goods were returned. What is the process and how long does it take to reflect?",resolved,PN100008428
TK-100039,MER-0016,2026-03-03 07:31:00,portal,Customer payment failed but was debited,We are seeing a lot of declines this afternoon on mobile money. Ref not recorded is one example. Is there a problem on the rail side or is it us?,resolved,
TK-100040,MER-0031,2026-04-13 11:45:00,email,Payment declined repeatedly,"A customer tried to pay 28.64 and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is PN100168327. Please reverse or confirm.",closed,PN100168327
TK-100041,MER-0046,2026-03-26 14:17:00,email,Where is our payout for 26 Mar?,"Hie, kindly confirm status of our settlement. Amount expected is around 63.68. Ref PN100120595.",pending_merchant,PN100120595
TK-100042,MER-0045,2026-04-30 14:59:00,phone,Payment declined repeatedly,We are seeing a lot of declines this afternoon on mobile money. Ref PN100158947 is one example. Is there a problem on the rail side or is it us?,resolved,PN100158947
TK-100043,MER-0015,2026-03-11 18:47:00,email,Request for statement,Kindly send the statement for last month in Excel rather than PDF.,resolved,PN100093883
TK-100044,MER-0015,2026-03-19 12:42:00,email,Transaction n/a failed on checkout,Customer says payment went through on their phone but our dashboard shows failed. not recorded. They are in the shop now and refusing to pay again.,resolved,
TK-100045,MER-0013,2026-04-04 15:17:00,portal,Customer payment failed but was debited,Customer says payment went through on their phone but our dashboard shows failed. not recorded. They are in the shop now and refusing to pay again.,resolved,
TK-100046,MER-0008,2026-03-30 17:44:00,whatsapp,Where is our payout for 30 Mar?,"We have not received settlement for 30 Mar 2026. This is the second time this month. Can someone check the batch on your side and come back to me today, we have suppliers waiting.",closed,
TK-100047,MER-0003,2026-03-17 12:51:00,whatsapp,Request for statement,We are changing our settlement bank. What documents do you need from us?,open,PN100144708
TK-100048,MER-0011,2026-04-22 08:48:00,portal,Settlement not received for 22 Apr,"We have not received settlement for 22 Apr 2026. This is the second time this month. Can someone check the batch on your side and come back to me today, we have suppliers waiting.",open,
TK-100049,MER-0044,2026-04-02 16:54:00,email,Add a user to our portal,Kindly send the statement for last month in Excel rather than PDF.,pending_merchant,
TK-100050,MER-0052,2026-04-11 06:35:00,email,Please reverse duplicate charge,"We need to refund n/a on not recorded, the goods were returned. What is the process and how long does it take to reflect?",closed,
TK-100051,MER-0017,2026-04-20 15:38:00,phone,Funds still not in our account,Good morning team. We reconciled our till this morning and the payout for 20 Apr 2026 has still not hit our FCA account. Our records show 187.73 collected. Please advise when we should expect it.,open,PN100168692
TK-100052,MER-0009,2026-04-18 15:21:00,email,Customer payment failed but was debited,We are seeing a lot of declines this afternoon on mobile money. Ref PN100116219 is one example. Is there a problem on the rail side or is it us?,closed,PN100116219
TK-100053,MER-0017,2026-03-14 18:08:00,email,API returning 401 after key rotation,"Question on statuses: if a payment sits at pending, how long before we can treat it as failed? Our checkout currently waits 30 seconds then gives up.",resolved,PN100002598
TK-100054,MER-0047,2026-04-25 12:33:00,email,Fee does not match our agreement,Our finance team has reviewed the statement and the fee charged looks higher than the rate we agreed in the addendum. We understood the new rate applies from April. Please clarify.,resolved,PN100064311
TK-100055,MER-0005,2026-03-27 07:53:00,whatsapp,Where is our payout for 27 Mar?,"Hie, kindly confirm status of our settlement. Amount expected is around n/a. Ref not recorded.",pending_merchant,
TK-100056,MER-0048,2026-04-18 17:59:00,whatsapp,Customer double charged,"We need to refund 8.75 on PN100086793, the goods were returned. What is the process and how long does it take to reflect?",closed,PN100086793
TK-100057,MER-0046,2026-04-23 11:34:00,portal,Where is our payout for 23 Apr?,Good morning team. We reconciled our till this morning and the payout for 23 Apr 2026 has still not hit our FCA account. Our records show 68.03 collected. Please advise when we should expect it.,pending_merchant,PN100179426
TK-100058,MER-0040,2026-03-11 13:06:00,whatsapp,Funds still not in our account,"Hie, kindly confirm status of our settlement. Amount expected is around 32.76. Ref PN100009198.",resolved,PN100009198
TK-100059,MER-0025,2026-03-15 10:14:00,email,Request for statement,Please add our new finance officer to the merchant portal with view only access.,closed,
TK-100060,MER-0009,2026-04-05 14:36:00,email,How do we handle the pending status?,"Question on statuses: if a payment sits at pending, how long before we can treat it as failed? Our checkout currently waits 30 seconds then gives up.",resolved,PN100083630
TK-100061,MER-0018,2026-03-13 11:39:00,portal,Customer payment failed but was debited,Customer says payment went through on their phone but our dashboard shows failed. not recorded. They are in the shop now and refusing to pay again.,resolved,
TK-100062,MER-0052,2026-04-15 18:13:00,email,Where is our payout for 15 Apr?,"Hie, kindly confirm status of our settlement. Amount expected is around n/a. Ref not recorded.",resolved,
TK-100063,MER-0037,2026-03-05 18:26:00,portal,Suspicious transaction pattern,"We had a series of small payments overnight from what looks like the same payer, all just under our review threshold. One ref is PN100065170. Can you block that payer and advise on next steps?",closed,PN100065170
TK-100064,MER-0022,2026-04-11 17:47:00,portal,Funds still not in our account,"We have not received settlement for 11 Apr 2026. This is the second time this month. Can someone check the batch on your side and come back to me today, we have suppliers waiting.",resolved,
TK-100065,MER-0017,2026-04-11 18:41:00,portal,Customer double charged,"Customer was charged twice for the same order. Please reverse one of them. Ref PN100105052, amount 5.65. She has been calling since yesterday.",closed,PN100105052
TK-100066,MER-0015,2026-04-15 18:01:00,portal,Settlement not received for 15 Apr,"Hie, kindly confirm status of our settlement. Amount expected is around 16.68. Ref PN100039127.",closed,PN100039127
TK-100067,MER-0001,2026-03-13 17:51:00,email,Customer double charged,"Customer was charged twice for the same order. Please reverse one of them. Ref PN100006042, amount 320.63. She has been calling since yesterday.",open,PN100006042
TK-100068,MER-0033,2026-04-18 14:55:00,portal,Transaction PN100169656 failed on checkout,"A customer tried to pay 5.12 and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is PN100169656. Please reverse or confirm.",pending_merchant,PN100169656
TK-100069,MER-0025,2026-04-25 12:38:00,portal,Customer payment failed but was debited,"A customer tried to pay 5.71 and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is PN100071201. Please reverse or confirm.",open,PN100071201
TK-100070,MER-0036,2026-04-10 11:09:00,email,Callback not firing on our staging environment,"We rotated our API key yesterday and now every request returns {""error"":""unauthorised""}. Nothing else changed on our side. Can you check whether the old key is still active?",resolved,PN100159818
TK-100071,MER-0019,2026-04-07 12:51:00,portal,Payment declined repeatedly,Customer says payment went through on their phone but our dashboard shows failed. PN100049089. They are in the shop now and refusing to pay again.,open,PN100049089
TK-100072,MER-0047,2026-03-09 10:17:00,email,Add a user to our portal,We are changing our settlement bank. What documents do you need from us?,resolved,
TK-100073,MER-0032,2026-04-23 06:23:00,whatsapp,Callback not firing on our staging environment,"Question on statuses: if a payment sits at pending, how long before we can treat it as failed? Our checkout currently waits 30 seconds then gives up.",closed,
TK-100074,MER-0044,2026-04-14 14:34:00,portal,Customer double charged,"We need to refund n/a on not recorded, the goods were returned. What is the process and how long does it take to reflect?",open,
TK-100075,MER-0027,2026-04-24 06:38:00,portal,Possible fraudulent payments overnight,"We had a series of small payments overnight from what looks like the same payer, all just under our review threshold. One ref is not recorded. Can you block that payer and advise on next steps?",open,
TK-100076,MER-0007,2026-04-08 19:29:00,email,Possible fraudulent payments overnight,"We had a series of small payments overnight from what looks like the same payer, all just under our review threshold. One ref is not recorded. Can you block that payer and advise on next steps?",open,
TK-100077,MER-0014,2026-03-12 18:43:00,whatsapp,Transaction n/a failed on checkout,"A customer tried to pay n/a and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is not recorded. Please reverse or confirm.",pending_merchant,
TK-100078,MER-0055,2026-03-31 07:35:00,portal,API returning 401 after key rotation,"Our callback endpoint is not receiving anything for successful payments, though the dashboard shows them as successful. We are on the v2 integration. Logs attached in the portal.",open,PN100141103
TK-100079,MER-0019,2026-03-02 08:13:00,email,Transaction PN100012969 failed on checkout,"A customer tried to pay 69.55 and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is PN100012969. Please reverse or confirm.",closed,PN100012969
TK-100080,MER-0031,2026-04-20 06:07:00,portal,Customer double charged,"Customer was charged twice for the same order. Please reverse one of them. Ref PN100065071, amount 42.74. She has been calling since yesterday.",resolved,PN100065071
TK-100081,MER-0007,2026-04-10 15:24:00,portal,Callback not firing on our staging environment,"Question on statuses: if a payment sits at pending, how long before we can treat it as failed? Our checkout currently waits 30 seconds then gives up.",open,PN100080089
TK-100082,MER-0008,2026-03-25 17:25:00,portal,Settlement not received for 25 Mar,"We have not received settlement for 25 Mar 2026. This is the second time this month. Can someone check the batch on your side and come back to me today, we have suppliers waiting.",closed,PN100110467
TK-100083,MER-0037,2026-04-18 09:46:00,portal,Payment declined repeatedly,We are seeing a lot of declines this afternoon on mobile money. Ref not recorded is one example. Is there a problem on the rail side or is it us?,closed,
TK-100084,MER-0025,2026-04-14 07:59:00,email,Add a user to our portal,We are changing our settlement bank. What documents do you need from us?,closed,PN100089052
TK-100085,MER-0027,2026-04-18 16:53:00,portal,Settlement not received for 18 Apr,"We have not received settlement for 18 Apr 2026. This is the second time this month. Can someone check the batch on your side and come back to me today, we have suppliers waiting.",pending_merchant,
TK-100086,MER-0001,2026-04-06 11:43:00,portal,Change of bank account details,Please add our new finance officer to the merchant portal with view only access.,closed,PN100049953
TK-100087,MER-0062,2026-03-27 09:26:00,portal,Please reverse duplicate charge,"Customer was charged twice for the same order. Please reverse one of them. Ref PN100153965, amount 316.78. She has been calling since yesterday.",resolved,PN100153965
TK-100088,MER-0010,2026-03-07 13:09:00,email,Please reverse duplicate charge,"We need to refund 41.90 on PN100062206, the goods were returned. What is the process and how long does it take to reflect?
Sent from my mobile device",closed,PN100062206
TK-100089,MER-0044,2026-04-25 12:30:00,email,Customer double charged,"We need to refund 85.43 on PN100144102, the goods were returned. What is the process and how long does it take to reflect?",closed,PN100144102
TK-100090,MER-0009,2026-04-06 13:21:00,email,Query on fees charged this month,Our finance team has reviewed the statement and the fee charged looks higher than the rate we agreed in the addendum. We understood the new rate applies from April. Please clarify.,resolved,PN100159144
TK-100091,MER-0036,2026-04-04 08:33:00,portal,API returning 401 after key rotation,"We rotated our API key yesterday and now every request returns {""error"":""unauthorised""}. Nothing else changed on our side. Can you check whether the old key is still active?",open,PN100161225
TK-100092,MER-0038,2026-04-22 13:27:00,whatsapp,Add a user to our portal,Kindly send the statement for last month in Excel rather than PDF.,closed,PN100034890
TK-100093,MER-0034,2026-03-31 08:03:00,email,Payment declined repeatedly,"A customer tried to pay 84.10 and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is PN100118272. Please reverse or confirm.",open,PN100118272
TK-100094,MER-0040,2026-04-11 06:01:00,whatsapp,Refund request for PN100143919,"We need to refund 328.68 on PN100143919, the goods were returned. What is the process and how long does it take to reflect?",resolved,PN100143919
TK-100095,MER-0027,2026-03-01 10:14:00,portal,Request for fee breakdown,Can you send a breakdown of fees for the period? We need it for our audit and the summary figure alone is not enough.,closed,PN100052965
TK-100096,MER-0060,2026-04-08 17:35:00,email,Transaction PN100053496 failed on checkout,Customer says payment went through on their phone but our dashboard shows failed. PN100053496. They are in the shop now and refusing to pay again.,closed,PN100053496
TK-100097,MER-0059,2026-03-27 17:45:00,portal,Transaction PN100044838 failed on checkout,We are seeing a lot of declines this afternoon on mobile money. Ref PN100044838 is one example. Is there a problem on the rail side or is it us?,closed,PN100044838
TK-100098,MER-0019,2026-03-18 18:24:00,whatsapp,Suspicious transaction pattern,"We had a series of small payments overnight from what looks like the same payer, all just under our review threshold. One ref is not recorded. Can you block that payer and advise on next steps?",open,
TK-100099,MER-0042,2026-03-11 19:15:00,email,Possible fraudulent payments overnight,"We had a series of small payments overnight from what looks like the same payer, all just under our review threshold. One ref is not recorded. Can you block that payer and advise on next steps?
Sent from my mobile device",resolved,
TK-100100,MER-0032,2026-04-11 14:10:00,email,Customer payment failed but was debited,"A customer tried to pay 5.08 and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is PN100080220. Please reverse or confirm.",resolved,PN100080220
TK-100101,MER-0060,2026-03-24 06:51:00,portal,Possible fraudulent payments overnight,"We had a series of small payments overnight from what looks like the same payer, all just under our review threshold. One ref is PN100064297. Can you block that payer and advise on next steps?",open,PN100064297
TK-100102,MER-0061,2026-04-03 06:07:00,portal,Callback not firing on our staging environment,"We rotated our API key yesterday and now every request returns {""error"":""unauthorised""}. Nothing else changed on our side. Can you check whether the old key is still active?",open,PN100025967
TK-100103,MER-0056,2026-04-14 12:06:00,email,Payment declined repeatedly,"A customer tried to pay n/a and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is not recorded. Please reverse or confirm.",closed,
TK-100104,MER-0025,2026-03-07 12:44:00,portal,Payment declined repeatedly,We are seeing a lot of declines this afternoon on mobile money. Ref not recorded is one example. Is there a problem on the rail side or is it us?,open,
TK-100105,MER-0033,2026-04-07 10:13:00,email,Refund request for PN100071068,"We need to refund 10.51 on PN100071068, the goods were returned. What is the process and how long does it take to reflect?
Sent from my mobile device",closed,PN100071068
TK-100106,MER-0019,2026-03-14 08:17:00,whatsapp,Add a user to our portal,Please add our new finance officer to the merchant portal with view only access.,open,PN100150849
TK-100107,MER-0028,2026-04-07 12:39:00,phone,How do we handle the pending status?,"Our callback endpoint is not receiving anything for successful payments, though the dashboard shows them as successful. We are on the v2 integration. Logs attached in the portal.",resolved,PN100112512
TK-100108,MER-0023,2026-03-28 19:33:00,email,Payment declined repeatedly,"We are seeing a lot of declines this afternoon on mobile money. Ref PN100154236 is one example. Is there a problem on the rail side or is it us?
Sent from my mobile device",pending_merchant,PN100154236
TK-100109,MER-0009,2026-03-17 13:25:00,portal,Where is our payout for 17 Mar?,"Hie, kindly confirm status of our settlement. Amount expected is around 133.27. Ref PN100073536.",resolved,PN100073536
TK-100110,MER-0056,2026-03-18 11:49:00,phone,Where is our payout for 18 Mar?,"Hie, kindly confirm status of our settlement. Amount expected is around n/a. Ref not recorded.",open,
TK-100111,MER-0056,2026-03-05 14:28:00,phone,Transaction PN100072016 failed on checkout,Customer says payment went through on their phone but our dashboard shows failed. PN100072016. They are in the shop now and refusing to pay again.,closed,PN100072016
TK-100112,MER-0026,2026-04-05 18:54:00,whatsapp,Payment declined repeatedly,We are seeing a lot of declines this afternoon on mobile money. Ref PN100012272 is one example. Is there a problem on the rail side or is it us?,open,PN100012272
TK-100113,MER-0017,2026-04-15 17:39:00,whatsapp,How do we handle the pending status?,"We rotated our API key yesterday and now every request returns {""error"":""unauthorised""}. Nothing else changed on our side. Can you check whether the old key is still active?",open,PN100079032
TK-100114,MER-0033,2026-03-21 10:24:00,email,API returning 401 after key rotation,"Question on statuses: if a payment sits at pending, how long before we can treat it as failed? Our checkout currently waits 30 seconds then gives up.",closed,PN100045859
TK-100115,MER-0013,2026-04-21 08:43:00,portal,How do we handle the pending status?,"Our callback endpoint is not receiving anything for successful payments, though the dashboard shows them as successful. We are on the v2 integration. Logs attached in the portal.",closed,PN100144358
TK-100116,MER-0015,2026-04-15 15:54:00,whatsapp,Transaction PN100004151 failed on checkout,"A customer tried to pay 39.40 and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is PN100004151. Please reverse or confirm.",resolved,PN100004151
TK-100117,MER-0043,2026-04-19 10:58:00,email,Transaction PN100114160 failed on checkout,Customer says payment went through on their phone but our dashboard shows failed. PN100114160. They are in the shop now and refusing to pay again.,resolved,PN100114160
TK-100118,MER-0007,2026-03-07 12:10:00,email,Settlement not received for 07 Mar,"We have not received settlement for 07 Mar 2026. This is the second time this month. Can someone check the batch on your side and come back to me today, we have suppliers waiting.",open,PN100084441
TK-100119,MER-0045,2026-03-05 06:38:00,email,Payment declined repeatedly,Customer says payment went through on their phone but our dashboard shows failed. PN100070456. They are in the shop now and refusing to pay again.,resolved,PN100070456
TK-100120,MER-0002,2026-04-29 08:18:00,portal,API returning 401 after key rotation,"We rotated our API key yesterday and now every request returns {""error"":""unauthorised""}. Nothing else changed on our side. Can you check whether the old key is still active?",resolved,PN100006925
TK-100121,MER-0047,2026-03-05 15:57:00,portal,How do we handle the pending status?,"Question on statuses: if a payment sits at pending, how long before we can treat it as failed? Our checkout currently waits 30 seconds then gives up.",resolved,PN100160383
TK-100122,MER-0023,2026-04-29 16:21:00,email,Payment declined repeatedly,We are seeing a lot of declines this afternoon on mobile money. Ref not recorded is one example. Is there a problem on the rail side or is it us?,resolved,
TK-100123,MER-0042,2026-04-13 06:04:00,email,API returning 401 after key rotation,"Our callback endpoint is not receiving anything for successful payments, though the dashboard shows them as successful. We are on the v2 integration. Logs attached in the portal.",pending_merchant,PN100067833
TK-100124,MER-0010,2026-04-19 17:40:00,email,API returning 401 after key rotation,"We rotated our API key yesterday and now every request returns {""error"":""unauthorised""}. Nothing else changed on our side. Can you check whether the old key is still active?",closed,PN100037442
TK-100125,MER-0006,2026-03-13 19:21:00,email,Funds still not in our account,"Hie, kindly confirm status of our settlement. Amount expected is around 29.50. Ref PN100084778.",pending_merchant,PN100084778
TK-100126,MER-0013,2026-04-30 10:26:00,email,Query on fees charged this month,Our finance team has reviewed the statement and the fee charged looks higher than the rate we agreed in the addendum. We understood the new rate applies from April. Please clarify.,pending_merchant,
TK-100127,MER-0007,2026-03-09 06:34:00,whatsapp,Callback not firing on our staging environment,"Question on statuses: if a payment sits at pending, how long before we can treat it as failed? Our checkout currently waits 30 seconds then gives up.",closed,
TK-100128,MER-0016,2026-04-11 17:53:00,whatsapp,How do we handle the pending status?,"Our callback endpoint is not receiving anything for successful payments, though the dashboard shows them as successful. We are on the v2 integration. Logs attached in the portal.",resolved,PN100053169
TK-100129,MER-0056,2026-03-09 11:21:00,portal,How do we handle the pending status?,"Our callback endpoint is not receiving anything for successful payments, though the dashboard shows them as successful. We are on the v2 integration. Logs attached in the portal.",closed,PN100171455
TK-100130,MER-0011,2026-04-22 13:54:00,email,Payment declined repeatedly,"A customer tried to pay 21.91 and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is PN100155600. Please reverse or confirm.",closed,PN100155600
TK-100131,MER-0033,2026-03-07 14:14:00,email,Transaction n/a failed on checkout,Customer says payment went through on their phone but our dashboard shows failed. not recorded. They are in the shop now and refusing to pay again.,pending_merchant,
TK-100132,MER-0046,2026-03-20 09:29:00,portal,Funds still not in our account,Good morning team. We reconciled our till this morning and the payout for 20 Mar 2026 has still not hit our FCA account. Our records show 36.69 collected. Please advise when we should expect it.,pending_merchant,PN100031266
TK-100133,MER-0041,2026-04-05 13:45:00,portal,Transaction PN100032278 failed on checkout,Customer says payment went through on their phone but our dashboard shows failed. PN100032278. They are in the shop now and refusing to pay again.,resolved,PN100032278
TK-100134,MER-0021,2026-04-13 16:18:00,email,Settlement not received for 13 Apr,Good morning team. We reconciled our till this morning and the payout for 13 Apr 2026 has still not hit our FCA account. Our records show 21.08 collected. Please advise when we should expect it.,closed,PN100035897
TK-100135,MER-0021,2026-03-26 07:11:00,email,How do we handle the pending status?,"Our callback endpoint is not receiving anything for successful payments, though the dashboard shows them as successful. We are on the v2 integration. Logs attached in the portal.",open,
TK-100136,MER-0030,2026-03-15 11:22:00,email,Transaction n/a failed on checkout,Customer says payment went through on their phone but our dashboard shows failed. not recorded. They are in the shop now and refusing to pay again.,closed,
TK-100137,MER-0009,2026-04-25 17:38:00,email,Settlement not received for 25 Apr,"Hie, kindly confirm status of our settlement. Amount expected is around 25.45. Ref PN100038427.",resolved,PN100038427
TK-100138,MER-0030,2026-03-24 12:04:00,portal,Customer payment failed but was debited,"A customer tried to pay 5.90 and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is PN100129906. Please reverse or confirm.",resolved,PN100129906
TK-100139,MER-0027,2026-03-24 15:54:00,portal,Change of bank account details,Kindly send the statement for last month in Excel rather than PDF.,resolved,PN100043161
TK-100140,MER-0062,2026-03-26 17:40:00,email,Fee does not match our agreement,Can you send a breakdown of fees for the period? We need it for our audit and the summary figure alone is not enough.,closed,PN100121638
TK-100141,MER-0051,2026-03-09 16:16:00,email,Where is our payout for 09 Mar?,Good morning team. We reconciled our till this morning and the payout for 09 Mar 2026 has still not hit our FCA account. Our records show 6.98 collected. Please advise when we should expect it.,pending_merchant,PN100119226
TK-100142,MER-0045,2026-03-01 12:23:00,portal,Payment declined repeatedly,"A customer tried to pay n/a and got an error on the checkout page, but they are telling me their wallet was debited. Transaction ref is not recorded. Please reverse or confirm.",closed,
TK-100143,MER-0010,2026-04-06 12:34:00,email,How do we handle the pending status?,"We rotated our API key yesterday and now every request returns {""error"":""unauthorised""}. Nothing else changed on our side. Can you check whether the old key is still active?",resolved,
